query,rule_ids
Deploy a 5G core network element with DPDK optimizations,r33;r32;r24;r23;r25;r26;r27;r29;r30;r28;r31;r22;r21;r20;r19;r10;r8
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,r11;r13;r3;r8;r10;r5;r2;r7;r32;r9;r4;r6;r24;r33
Provision a Low-Latency Cloud Gaming Platform with Zero Packet Loss,r31;r30;r29;r28;r20;r19;r22;r18;r17;r16;r21;r15;r24;r33;r25;r8;r10;r23;r27;r26;r9;r7;r12
Implement an Autonomous Vehicle Control System with Real-Time network Stability,r10;r8;r18;r16;r5;r3;r30;r31;r28;r29;r22;r21;r7;r9;r20;r19;r4;r15;r2;r12
Implement a Real-Time Video Surveillance System with Frame Loss Prevention,r31;r30;r28;r29;r22;r21;r19;r20;r18;r10;r8;r15;r16;r9;r17;r7;r25;r33;r23;r24;r5;r3
Create a Cloud-Based AI Training Cluster with GPU Utilization Monitoring,r3;r5;r4;r2;r8;r10
Setup a Global Content Delivery Network (CDN) with Packet integrity Assurance,r31;r19;r30;r29;r28;r21;r20;r22;r16;r18;r17;r33;r27;r24;r25;r26;r23
Implement a Satellite Communication Hub with Signal Integrity Checks,r12;r28;r13;r19;r30;r21;r16;r31;r29;r18;r11;r22;r20;r17;r15;r33;r23;r24;r25;r10;r8
Build a Decentralized Blockchain Network with Consensus Stability,r18;r31;r16;r30;r28;r29;r21;r20;r22;r19;r17;r33;r23;r26;r27;r24;r25;r15
Setup an Edge AI Inference Node with Thermal and Memory Safeguards,r11;r3;r13;r5;r2;r32;r4;r6;r8
Deploy a Backup Server with SSH Access and Network Stability,r15;r16
Create an IoT Temperature Sensor Node with Thermal Thresholds,r11;r13;r3
Deploy a Static Web Server with MTU and Packet Loss Monitoring,r31;r29;r22;r17;r20;r30;r28;r21;r19;r16;r18
Setup a Digital Signage System with Fan Speed Safeguards,r12;r13;r11
Create a Home Automation Hub with Stable SSH and Low CPU Load,r15;r10;r8;r9;r7
Provision a File Storage Server with Memory and MTU compliance,r3;r5;r4;r2;r17;r32
Setup a Maritime Navigation System with Network Stability,r31;r29;r30;r16;r20;r28;r18;r19;r22;r21;r15;r17;r33;r32;r23;r27;r24;r25;r26
Provision a Smart Agriculture IoT Node with Thermal Controls,r11;r13;r10;r8
Create a Disaster Recovery Site with Minimal Packet Loss,r31;r30;r29;r28;r22;r21;r20;r19;r18;r16;r12;r10;r8;r5;r3
Deploy a Public Transit Scheduling System with ARP Checks,None
Build a Digital Twin for Industrial Machinery with buffer Monitoring,r12;r32;r13;r11;r23;r33;r24;r6;r10;r25;r8;r26;r5;r3
Setup a Cryptocurrency Mining Rig with Thermal Safeguards,r11;r13;r10;r8;r3
Create a Wildlife Tracking System with Network Error Detection,r31;r30;r29;r28;r22;r21;r20;r19;r18;r16;r15;r17
Provision a Voice-over-IP (VoIP) Gateway with Packet Integrity,r31;r30;r28;r29;r20;r19;r21;r22;r16;r18;r15;r17;r27;r33;r26;r25;r24;r23;r10;r8;r9;r7
Implement a Smart Metering Hub with Memory Stability,r3;r5;r2;r4;r32
Deploy a Quantum Computing Interface with Fan Speed Alerts,r13;r12;r11
Build a Satellite IoT Gateway with MTU Compliance,r17
Setup a Telemetry Server for Drones with Low Latency,r33;r25;r23;r24;r10;r8;r30;r31;r26;r27;r28;r29;r20;r19;r22;r21;r12;r16;r18;r9;r7;r15;r5;r3
Create a Biometric Authentication System with SSH access,r15
Provision a Genomics Data Processing with CPU Headroom,r10;r8;r3;r5;r7;r9;r4;r2
Deploy a Fleet Management System with No Rx Errors,r29;r28
Implement a Smart Lighting Controller with Thermal Limits,r12;r11;r13;r3
Build a Hydroponics Monitoring Node with Network Stability,r12;r18;r13;r20;r31;r29;r22;r11;r16;r30;r28;r21;r19;r15;r17
Setup a E-Commerce API Gateway with MTU Enforcement,r17;r16
Create a Robotics Simulation with memory Guarantees,r5;r3;r4;r2;r32
Provision a Spacecraft Telemetry Relay with DPDK Buffers,r32;r24;r33;r23;r25;r26
Deploy a Waste Management IoT Sensor with Fan Alerts,r12;r11;r13
Implement a Air Traffic Control Backup System with ARP Checks,r18;r16
Build a Nuclear Plant Sensor Network with Zero Packet Loss,r31;r29;r22;r20;r12;r30;r19;r28;r13;r21;r16;r11;r33;r15;r18;r23;r24;r25;r10;r8
Setup a Railway Signaling System with CPU Stability,r10;r8;r9;r7;r5;r3
Create a Augmented Reality Classroom with SSH Access,r15
Provision a Wind Turbine Monitoring Node with Thermal Controls,r11;r13;r3
Deploy a Underwater Data Acoustic Link with Buffer Protection,r32;r24;r33;r23;r25;r27;r26
Build a Lunar Rover Communication Hub with DPDK Optimizations,r33;r32;r25;r26;r27;r23;r24;r31;r30;r29;r28;r22;r21;r20;r19;r18;r17;r16;r15;r10;r8
Deploy a load balancer with 3GHz of processing capabilites,r10;r8;r9;r7;r5;r3;r4;r2
