query,rule_id,similarity_score,ollama_score
Deploy a database server that must maintain memory above 50% free at all times,r29,0.3198,0.0
Deploy a database server that must maintain memory above 50% free at all times,r30,0.2764,0.0
Deploy a database server that must maintain memory above 50% free at all times,r31,0.293,0.0
Deploy a database server that must maintain memory above 50% free at all times,r32,0.6288,0.0
Deploy a database server that must maintain memory above 50% free at all times,r33,0.5883,0.0
Create a video streaming VM with protection against overheating and fan failures,r1,0.207,0.05
Create a video streaming VM with protection against overheating and fan failures,r2,0.2528,0.6
Create a video streaming VM with protection against overheating and fan failures,r3,0.2482,0.8
Create a video streaming VM with protection against overheating and fan failures,r4,0.3617,0.6
Create a video streaming VM with protection against overheating and fan failures,r5,0.3881,0.8
Create a video streaming VM with protection against overheating and fan failures,r6,0.1564,0.05
Create a video streaming VM with protection against overheating and fan failures,r7,0.3252,0.3
Create a video streaming VM with protection against overheating and fan failures,r8,0.3812,0.5
Create a video streaming VM with protection against overheating and fan failures,r9,0.3552,0.3
Create a video streaming VM with protection against overheating and fan failures,r10,0.4107,0.5
Create a video streaming VM with protection against overheating and fan failures,r11,0.1265,0.9
Create a video streaming VM with protection against overheating and fan failures,r12,0.2861,0.0
Create a video streaming VM with protection against overheating and fan failures,r13,0.4543,0.9
Create a video streaming VM with protection against overheating and fan failures,r14,0.2024,0.1
Create a video streaming VM with protection against overheating and fan failures,r15,0.2245,0.2
Create a video streaming VM with protection against overheating and fan failures,r16,0.3611,0.1
Create a video streaming VM with protection against overheating and fan failures,r17,0.1097,0.1
Create a video streaming VM with protection against overheating and fan failures,r18,0.204,0.1
Create a video streaming VM with protection against overheating and fan failures,r19,0.2806,0.1
Create a video streaming VM with protection against overheating and fan failures,r20,0.2158,0.1
Create a video streaming VM with protection against overheating and fan failures,r21,0.2806,0.1
Create a video streaming VM with protection against overheating and fan failures,r22,0.2314,0.1
Create a video streaming VM with protection against overheating and fan failures,r23,0.3813,0.05
Create a video streaming VM with protection against overheating and fan failures,r24,0.2447,0.05
Create a video streaming VM with protection against overheating and fan failures,r25,0.2067,0.05
Create a video streaming VM with protection against overheating and fan failures,r26,0.2202,0.05
Create a video streaming VM with protection against overheating and fan failures,r27,0.1644,0.05
Create a video streaming VM with protection against overheating and fan failures,r28,0.2647,0.1
Create a video streaming VM with protection against overheating and fan failures,r29,0.2258,0.1
Create a video streaming VM with protection against overheating and fan failures,r30,0.2647,0.1
Create a video streaming VM with protection against overheating and fan failures,r31,0.2341,0.1
Create a video streaming VM with protection against overheating and fan failures,r32,0.1869,0.1
Create a video streaming VM with protection against overheating and fan failures,r33,0.242,0.05
Set up a game server with zero network latency spikes and stable SSH access,r1,0.3195,0.05
Set up a game server with zero network latency spikes and stable SSH access,r2,0.3544,0.1
Set up a game server with zero network latency spikes and stable SSH access,r3,0.2911,0.1
Set up a game server with zero network latency spikes and stable SSH access,r4,0.4416,0.1
Set up a game server with zero network latency spikes and stable SSH access,r5,0.4349,0.1
Set up a game server with zero network latency spikes and stable SSH access,r6,0.1841,0.0
Set up a game server with zero network latency spikes and stable SSH access,r7,0.3972,0.1
Set up a game server with zero network latency spikes and stable SSH access,r8,0.34,0.1
Set up a game server with zero network latency spikes and stable SSH access,r9,0.3961,0.1
Set up a game server with zero network latency spikes and stable SSH access,r10,0.3874,0.1
Set up a game server with zero network latency spikes and stable SSH access,r11,0.2174,0.0
Set up a game server with zero network latency spikes and stable SSH access,r12,0.22,0.0
Set up a game server with zero network latency spikes and stable SSH access,r13,0.4886,0.0
Set up a game server with zero network latency spikes and stable SSH access,r14,0.2239,0.0
Set up a game server with zero network latency spikes and stable SSH access,r15,0.5043,0.7
Set up a game server with zero network latency spikes and stable SSH access,r16,0.4421,0.8
Set up a game server with zero network latency spikes and stable SSH access,r17,0.3896,0.8
Set up a game server with zero network latency spikes and stable SSH access,r18,0.4766,0.8
Set up a game server with zero network latency spikes and stable SSH access,r19,0.4436,0.8
Set up a game server with zero network latency spikes and stable SSH access,r20,0.4387,0.8
Set up a game server with zero network latency spikes and stable SSH access,r21,0.4436,0.8
Set up a game server with zero network latency spikes and stable SSH access,r22,0.3985,0.8
Set up a game server with zero network latency spikes and stable SSH access,r23,0.4496,0.0
Set up a game server with zero network latency spikes and stable SSH access,r24,0.3973,0.0
Set up a game server with zero network latency spikes and stable SSH access,r25,0.4147,0.0
Set up a game server with zero network latency spikes and stable SSH access,r26,0.4005,0.0
Set up a game server with zero network latency spikes and stable SSH access,r27,0.4218,0.0
Set up a game server with zero network latency spikes and stable SSH access,r28,0.4142,0.8
Set up a game server with zero network latency spikes and stable SSH access,r29,0.4333,0.8
Set up a game server with zero network latency spikes and stable SSH access,r30,0.4142,0.8
Set up a game server with zero network latency spikes and stable SSH access,r31,0.3911,0.8
Set up a game server with zero network latency spikes and stable SSH access,r32,0.3114,0.0
Set up a game server with zero network latency spikes and stable SSH access,r33,0.3678,0.0
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r1,0.3805,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r2,0.3907,0.6
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r3,0.3434,0.8
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r4,0.428,0.6
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r5,0.3927,0.8
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r6,0.2516,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r7,0.4585,0.7
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r8,0.3642,0.9
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r9,0.4126,0.7
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r10,0.3474,0.9
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r11,0.239,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r12,0.1472,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r13,0.2333,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r14,0.1492,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r15,0.3502,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r16,0.2895,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r17,0.1608,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r18,0.3264,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r19,0.2518,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r20,0.2802,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r21,0.2518,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r22,0.2694,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r23,0.3702,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r24,0.3545,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r25,0.3364,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r26,0.2961,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r27,0.3051,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r28,0.2593,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r29,0.3053,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r30,0.2593,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r31,0.2691,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r32,0.3505,0.05
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r33,0.4061,0.05
Deploy a critical analytics server with no memory exhaustion risks,r1,0.6458,0.2
Deploy a critical analytics server with no memory exhaustion risks,r2,0.6734,0.9
Deploy a critical analytics server with no memory exhaustion risks,r3,0.7315,0.0
Deploy a critical analytics server with no memory exhaustion risks,r4,0.6748,0.9
Deploy a critical analytics server with no memory exhaustion risks,r5,0.8456,0.0
Deploy a critical analytics server with no memory exhaustion risks,r6,0.2046,0.2
Deploy a critical analytics server with no memory exhaustion risks,r7,0.5158,0.5
Deploy a critical analytics server with no memory exhaustion risks,r8,0.5706,0.7
Deploy a critical analytics server with no memory exhaustion risks,r9,0.5378,0.5
Deploy a critical analytics server with no memory exhaustion risks,r10,0.642,0.7
Deploy a critical analytics server with no memory exhaustion risks,r11,0.1652,0.1
Deploy a critical analytics server with no memory exhaustion risks,r12,0.2158,0.3
Deploy a critical analytics server with no memory exhaustion risks,r13,0.3646,0.1
Deploy a critical analytics server with no memory exhaustion risks,r14,0.2406,0.1
Deploy a critical analytics server with no memory exhaustion risks,r15,0.364,0.0
Deploy a critical analytics server with no memory exhaustion risks,r16,0.5014,0.0
Deploy a critical analytics server with no memory exhaustion risks,r17,0.1408,0.0
Deploy a critical analytics server with no memory exhaustion risks,r18,0.2322,0.0
Deploy a critical analytics server with no memory exhaustion risks,r19,0.2855,0.0
Deploy a critical analytics server with no memory exhaustion risks,r20,0.2757,0.0
Deploy a critical analytics server with no memory exhaustion risks,r21,0.2855,0.0
Deploy a critical analytics server with no memory exhaustion risks,r22,0.292,0.0
Deploy a critical analytics server with no memory exhaustion risks,r23,0.4637,0.0
Deploy a critical analytics server with no memory exhaustion risks,r24,0.4277,0.0
Deploy a critical analytics server with no memory exhaustion risks,r25,0.3618,0.0
Deploy a critical analytics server with no memory exhaustion risks,r26,0.3673,0.0
Deploy a critical analytics server with no memory exhaustion risks,r27,0.2836,0.0
Deploy a critical analytics server with no memory exhaustion risks,r28,0.3529,0.0
Deploy a critical analytics server with no memory exhaustion risks,r29,0.3569,0.0
Deploy a critical analytics server with no memory exhaustion risks,r30,0.3529,0.0
Deploy a critical analytics server with no memory exhaustion risks,r31,0.3508,0.0
Deploy a critical analytics server with no memory exhaustion risks,r32,0.68,0.8
Deploy a critical analytics server with no memory exhaustion risks,r33,0.6128,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r1,0.1445,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r2,0.1847,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r3,0.1548,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r4,0.2661,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r5,0.2934,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r6,0.0914,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r7,0.2964,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r8,0.2996,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r9,0.2974,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r10,0.3234,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r11,0.1007,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r12,0.1148,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r13,0.2628,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r14,0.0869,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r15,0.3211,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r16,0.3554,0.8
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r17,0.2308,0.9
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r18,0.3301,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r19,0.3081,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r20,0.257,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r21,0.3081,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r22,0.2194,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r23,0.3223,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r24,0.378,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r25,0.3548,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r26,0.3965,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r27,0.3156,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r28,0.3555,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r29,0.3417,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r30,0.3555,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r31,0.3055,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r32,0.1758,0.0
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r33,0.2944,0.0
Implement a financial trading system with network interface stability guarantees,r1,0.3846,0.05
Implement a financial trading system with network interface stability guarantees,r2,0.3666,0.1
Implement a financial trading system with network interface stability guarantees,r3,0.3446,0.1
Implement a financial trading system with network interface stability guarantees,r4,0.3549,0.1
Implement a financial trading system with network interface stability guarantees,r5,0.328,0.1
Implement a financial trading system with network interface stability guarantees,r6,0.0977,0.0
Implement a financial trading system with network interface stability guarantees,r7,0.2208,0.2
Implement a financial trading system with network interface stability guarantees,r8,0.2583,0.2
Implement a financial trading system with network interface stability guarantees,r9,0.1833,0.2
Implement a financial trading system with network interface stability guarantees,r10,0.2268,0.2
Implement a financial trading system with network interface stability guarantees,r11,0.1501,0.0
Implement a financial trading system with network interface stability guarantees,r12,0.1397,0.0
Implement a financial trading system with network interface stability guarantees,r13,0.2775,0.0
Implement a financial trading system with network interface stability guarantees,r14,0.0568,0.0
Implement a financial trading system with network interface stability guarantees,r15,0.2652,0.7
Implement a financial trading system with network interface stability guarantees,r16,0.4008,0.8
Implement a financial trading system with network interface stability guarantees,r17,0.3078,0.7
Implement a financial trading system with network interface stability guarantees,r18,0.473,0.9
Implement a financial trading system with network interface stability guarantees,r19,0.3693,0.8
Implement a financial trading system with network interface stability guarantees,r20,0.4202,0.8
Implement a financial trading system with network interface stability guarantees,r21,0.3693,0.8
Implement a financial trading system with network interface stability guarantees,r22,0.3824,0.8
Implement a financial trading system with network interface stability guarantees,r23,0.479,0.5
Implement a financial trading system with network interface stability guarantees,r24,0.443,0.5
Implement a financial trading system with network interface stability guarantees,r25,0.4082,0.5
Implement a financial trading system with network interface stability guarantees,r26,0.4084,0.5
Implement a financial trading system with network interface stability guarantees,r27,0.3761,0.5
Implement a financial trading system with network interface stability guarantees,r28,0.4165,0.8
Implement a financial trading system with network interface stability guarantees,r29,0.4607,0.8
Implement a financial trading system with network interface stability guarantees,r30,0.4165,0.8
Implement a financial trading system with network interface stability guarantees,r31,0.42,0.8
Implement a financial trading system with network interface stability guarantees,r32,0.342,0.4
Implement a financial trading system with network interface stability guarantees,r33,0.4495,0.5
Build a IoT edge node with temperature controls and fan speed safeguards,r1,0.1886,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r2,0.2201,0.3
Build a IoT edge node with temperature controls and fan speed safeguards,r3,0.2388,0.5
Build a IoT edge node with temperature controls and fan speed safeguards,r4,0.3155,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r5,0.3971,0.3
Build a IoT edge node with temperature controls and fan speed safeguards,r6,0.0633,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r7,0.3387,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r8,0.359,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r9,0.3497,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r10,0.4235,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r11,0.2668,0.9
Build a IoT edge node with temperature controls and fan speed safeguards,r12,0.281,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r13,0.562,0.8
Build a IoT edge node with temperature controls and fan speed safeguards,r14,0.1089,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r15,0.2633,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r16,0.4587,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r17,0.1865,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r18,0.3225,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r19,0.2851,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r20,0.2804,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r21,0.2851,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r22,0.2536,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r23,0.3936,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r24,0.3285,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r25,0.331,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r26,0.3776,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r27,0.2865,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r28,0.3363,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r29,0.3434,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r30,0.3363,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r31,0.3086,0.0
Build a IoT edge node with temperature controls and fan speed safeguards,r32,0.2132,0.3
Build a IoT edge node with temperature controls and fan speed safeguards,r33,0.29,0.0
Deploy a machine learning host protected against CPU overload scenarios,r1,0.3396,0.0
Deploy a machine learning host protected against CPU overload scenarios,r2,0.3845,0.6
Deploy a machine learning host protected against CPU overload scenarios,r3,0.3837,0.8
Deploy a machine learning host protected against CPU overload scenarios,r4,0.521,0.6
Deploy a machine learning host protected against CPU overload scenarios,r5,0.6145,0.8
Deploy a machine learning host protected against CPU overload scenarios,r6,0.214,0.0
Deploy a machine learning host protected against CPU overload scenarios,r7,0.6613,0.7
Deploy a machine learning host protected against CPU overload scenarios,r8,0.5799,0.9
Deploy a machine learning host protected against CPU overload scenarios,r9,0.744,0.7
Deploy a machine learning host protected against CPU overload scenarios,r10,0.7402,0.9
Deploy a machine learning host protected against CPU overload scenarios,r11,0.126,0.0
Deploy a machine learning host protected against CPU overload scenarios,r12,0.129,0.0
Deploy a machine learning host protected against CPU overload scenarios,r13,0.3115,0.0
Deploy a machine learning host protected against CPU overload scenarios,r14,0.1682,0.0
Deploy a machine learning host protected against CPU overload scenarios,r15,0.45,0.0
Deploy a machine learning host protected against CPU overload scenarios,r16,0.4281,0.0
Deploy a machine learning host protected against CPU overload scenarios,r17,0.1327,0.0
Deploy a machine learning host protected against CPU overload scenarios,r18,0.2269,0.0
Deploy a machine learning host protected against CPU overload scenarios,r19,0.3393,0.0
Deploy a machine learning host protected against CPU overload scenarios,r20,0.2894,0.0
Deploy a machine learning host protected against CPU overload scenarios,r21,0.3393,0.0
Deploy a machine learning host protected against CPU overload scenarios,r22,0.3081,0.0
Deploy a machine learning host protected against CPU overload scenarios,r23,0.4187,0.0
Deploy a machine learning host protected against CPU overload scenarios,r24,0.4217,0.0
Deploy a machine learning host protected against CPU overload scenarios,r25,0.3784,0.0
Deploy a machine learning host protected against CPU overload scenarios,r26,0.4499,0.0
Deploy a machine learning host protected against CPU overload scenarios,r27,0.3196,0.0
Deploy a machine learning host protected against CPU overload scenarios,r28,0.4079,0.0
Deploy a machine learning host protected against CPU overload scenarios,r29,0.4071,0.0
Deploy a machine learning host protected against CPU overload scenarios,r30,0.4079,0.0
Deploy a machine learning host protected against CPU overload scenarios,r31,0.3933,0.0
Deploy a machine learning host protected against CPU overload scenarios,r32,0.4617,0.0
Deploy a machine learning host protected against CPU overload scenarios,r33,0.5011,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r1,0.321,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r2,0.3571,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r3,0.2913,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r4,0.4502,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r5,0.3847,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r6,-0.0269,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r7,0.0695,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r8,0.0742,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r9,0.1279,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r10,0.1781,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r11,0.0128,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r12,-0.001,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r13,-0.0161,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r14,0.0316,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r15,0.3755,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r16,0.1727,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r17,0.1059,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r18,0.0936,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r19,0.09,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r20,0.0921,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r21,0.09,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r22,0.1086,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r23,0.4977,0.85
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r24,0.4618,0.75
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r25,0.4294,0.9
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r26,0.4872,0.8
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r27,0.3406,0.7
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r28,0.4099,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r29,0.3635,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r30,0.4099,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r31,0.3867,0.0
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r32,0.5175,0.65
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r33,0.579,0.85
Create a Kubernetes master node with network error rate monitoring,r1,0.266,0.05
Create a Kubernetes master node with network error rate monitoring,r2,0.3081,0.3
Create a Kubernetes master node with network error rate monitoring,r3,0.2038,0.4
Create a Kubernetes master node with network error rate monitoring,r4,0.4277,0.3
Create a Kubernetes master node with network error rate monitoring,r5,0.3265,0.4
Create a Kubernetes master node with network error rate monitoring,r6,0.0442,0.05
Create a Kubernetes master node with network error rate monitoring,r7,0.2401,0.2
Create a Kubernetes master node with network error rate monitoring,r8,0.2085,0.3
Create a Kubernetes master node with network error rate monitoring,r9,0.2645,0.2
Create a Kubernetes master node with network error rate monitoring,r10,0.2764,0.3
Create a Kubernetes master node with network error rate monitoring,r11,0.0965,0.1
Create a Kubernetes master node with network error rate monitoring,r12,0.0961,0.2
Create a Kubernetes master node with network error rate monitoring,r13,0.2884,0.1
Create a Kubernetes master node with network error rate monitoring,r14,0.1004,0.05
Create a Kubernetes master node with network error rate monitoring,r15,0.3725,0.6
Create a Kubernetes master node with network error rate monitoring,r16,0.4503,0.7
Create a Kubernetes master node with network error rate monitoring,r17,0.4444,0.6
Create a Kubernetes master node with network error rate monitoring,r18,0.4946,0.7
Create a Kubernetes master node with network error rate monitoring,r19,0.5834,0.8
Create a Kubernetes master node with network error rate monitoring,r20,0.4903,0.8
Create a Kubernetes master node with network error rate monitoring,r21,0.5834,0.8
Create a Kubernetes master node with network error rate monitoring,r22,0.4745,0.8
Create a Kubernetes master node with network error rate monitoring,r23,0.6022,0.5
