query,rule_ids
Provision a Low-Latency Cloud Gaming Platform with Zero Packet Loss,r16;r19;r20;r21;r22;r28;r29;r30;r31
Implement an Autonomous Vehicle Control System with Real-Time network Stability,r10;r16;r19;r21;r28;r29;r30;r31
Implement a Real-Time Video Surveillance System with Frame Loss Prevention,r29;r31
Create a Cloud-Based AI Training Cluster with GPU Utilization Monitoring,None
Setup a Global Content Delivery Network (CDN) with Packet integrity Assurance,r18;r19;r20;r21;r22;r28;r29;r30;r31
Implement a Satellite Communication Hub with Signal Integrity Checks,None
Build a Decentralized Blockchain Network with Consensus Stability,r18;r19;r21;r28;r30
Setup an Edge AI Inference Node with Thermal and Memory Safeguards,r2;r3;r4;r5;r32
Deploy a Backup Server with SSH Access and Network Stability,r15
Create an IoT Temperature Sensor Node with Thermal Thresholds,r11
Deploy a Static Web Server with MTU and Packet Loss Monitoring,None
Setup a Digital Signage System with Fan Speed Safeguards,r13
Create a Home Automation Hub with Stable SSH and Low CPU Load,None
Provision a File Storage Server with Memory and MTU compliance,r2;r3;r4;r5;r17;r32
Setup a Maritime Navigation System with Network Stability,r16;r18;r19;r20;r21;r22;r28;r29;r30;r31
Provision a Smart Agriculture IoT Node with Thermal Controls,None
Create a Disaster Recovery Site with Minimal Packet Loss,r16;r20;r22;r28;r29;r30;r31
Deploy a Public Transit Scheduling System with ARP Checks,None
Build a Digital Twin for Industrial Machinery with buffer Monitoring,None
Setup a Cryptocurrency Mining Rig with Thermal Safeguards,r3;r8;r11
Create a Wildlife Tracking System with Network Error Detection,r28;r29;r30;r31
Provision a Voice-over-IP (VoIP) Gateway with Packet Integrity,r24;r25;r26;r27;r28;r29;r30;r31
Implement a Smart Metering Hub with Memory Stability,r2;r3;r4;r5;r32
Deploy a Quantum Computing Interface with Fan Speed Alerts,r12;r13
Build a Satellite IoT Gateway with MTU Compliance,r17
Setup a Telemetry Server for Drones with Low Latency,r23;r24;r25;r29
Create a Biometric Authentication System with SSH access,r15
Provision a Genomics Data Processing with CPU Headroom,r8;r10
Deploy a Fleet Management System with No Rx Errors,r19;r28
Implement a Smart Lighting Controller with Thermal Limits,r12
Build a Hydroponics Monitoring Node with Network Stability,r18
Setup a E-Commerce API Gateway with MTU Enforcement,None
Create a Robotics Simulation with memory Guarantees,r2;r3;r4;r5;r32
Provision a Spacecraft Telemetry Relay with DPDK Buffers,r23;r24;r32;r33
Deploy a Waste Management IoT Sensor with Fan Alerts,r12;r13
Implement a Air Traffic Control Backup System with ARP Checks,None
Build a Nuclear Plant Sensor Network with Zero Packet Loss,r16;r18;r19;r20;r21;r22;r28;r29;r30;r31
Setup a Railway Signaling System with CPU Stability,r10
Create a Augmented Reality Classroom with SSH Access,r15
Provision a Wind Turbine Monitoring Node with Thermal Controls,None
Deploy a Underwater Data Acoustic Link with Buffer Protection,None
Build a Lunar Rover Communication Hub with DPDK Optimizations,r23;r24;r25;r26;r27;r28;r29;r30;r31;r32;r33
Deploy a load balancer with 3GHz of processing capabilites,r8;r10
